GRB	<a href="/archive/grb_table/swgrbtable_help.html#bat_t90">BAT T90 [sec]</a>	<a href="/archive/grb_table/swgrbtable_help.html#redshift">Redshift</a>
150403A	40.90	2.06 (VLT: absorption)
150323A	149.6	0.593 (Keck I: absorption and emission)
150314A	14.79	1.758 (GTC: absorption)
150301B	12.44	1.5169 (VLT: absorption)
150206A	83.2	2.087 (VLT: absorption)
150120A	1.20	0.460 (Gemini-North: emission, possible host)
150101B	0.018	0.093 (GTC: emission from host)
141225A	40.24	0.915 (GTC: absorption)
141221A	36.9	1.452 (Keck II: absorption, tentative)
141220A	7.21	1.3195 (GTC: absorption)
141212A	0.30	0.596 (Gemini-North: emission from likely host)
141121A	549.9	1.47 (Keck I: absorption)
141109A	200	2.993 (VLT: absorption)
141026A	146	3.35 (GTC: absorption, possible redshift)
141004A	3.92	0.57 (NOT: emission)|0.573 (GTC: emission)
140907A	79.2	1.21 (GTC)
140903A	0.30	0.351 (Gemini-North: absorption, tentative host redshift)
140710A	3.52	0.558 (Gemini-North: emission, host)
140703A	67.1	3.14 (GTC: absorption)
140629A	42.0	2.275 (BTA: absorption)|2.29 (TNG: absorption)
140622A	0.13	~0.959 (VLT: emission from host)
140614A	720	4.233 (VLT: absorption)
140518A	60.5	4.707 (Gemini-North: absorption)
140515A	23.4	6.32 (Gemini-North: absorption)
140512A	154.8	0.725 (NOT: absorption)
140506A	111.1	0.889 (VLT: absorption, host)
140430A	173.6	1.60 (VLT: absorption)
140428A	17.42	~4.7 (Keck I: estimate)
140423A	134	3.26 (Gemini-North: absorption)
140419A	94.7	3.956 (Gemini-North: absorption)
140318A	8.43	1.02 (WHT: emission)
140311A	71.4	4.95 (Gemini-South: absorption)|~ 5 (NOT: absorption)|4.954 (Gemini-North)
140304A	15.6	5.283 (GTC: absorption)| 5.28 (NOT: absorption)
140301A	31.0	1.416 (VLT: absorption)
140213A	60.0	1.2076 (VLT: absorption)
140206A	93.6	2.73 (NOT: absorption)|2.74 (TNG: absorption)
140114A	139.7	3.0 (arXiv:1503.05323v1)
131227A	18.0	~5.3 (Gemini-North)
131117A	11.00	4.18 (MPG: photometric)|4.042 (VLT: absorption)
131105A	112.3	1.686 (VLT: emission & absorption)
131103A	17.3	0.599 (VLT: emission & absorption)
131030A	41.1	1.293 (NOT: absorption)|1.295 (GTC: absorption)
131004A	1.54	0.717 (Magellan: emission)|0.71 (TNG: emission)
130925A	n/a	0.347 (VLT/UVES: emission)|0.35 (VLT/X-shooter: emission)
130907A	>360	1.238 (NOT: absorption)
130831A	32.5	0.4791 (Gemini-North: absorption)
130701A	4.38	1.155 (VLT: absorption)
130612A	4.0	2.006 (VLT: absorption)
130610A	46.4	2.092 (VLT: absorption)
130606A	276.58	5.91 (GTC: absorption)|5.913 (MMT: absorption)|5.913 (VLT: absorption)
130604A	37.7	1.06 (Gemini-North: emission)
130603B	0.18	0.356 (GTC: absorption & emission)|0.356 (Magellan: emission, host)|0.356 (Gemini-South: emission)|0.3564 (VLT: absorption & emission)
130518A	n/a	2.49 (GTC: absorption)|2.488 (Gemini-North: absorption)
130514A	204	3.6 (MPG/ESO: photometric)
130511A	5.43	1.3033 (Gemini-North: absorption)
130505A	88	2.27 (Gemini-North: absorption)
130427B	27.0	2.78 (VLT: tentative)
130427A	162.83	0.34 (Gemini-North: absorption)|0.338 (NOT: absorption)|0.3399 (VLT: absorption)|0.340 (LBT: absorption)| 0.3399 (William Herschel: emission, host)| 0.3393 (BTA)
130420A	123.5	1.297 (GTC: absorption)
130418A	>300	1.218 (GTC)|1.217 (VLT: absorption)
130408A	28	3.758 (VLT: absorption)|3.757 (Gemini-South)
130215A	65.7	0.597 (Lick Shane: absorption)|0.58 (GTC: derived)
