Frequency,Total,QuantumVacuum,Seismic,Newtonian,SuspensionThermal,Coating,Substrate,ExcessGas
5,7.30285711005448E-24,9.15335141162267E-25,3.31201137048223E-24,5.31428135174035E-24,3.51031603852609E-24,2.92846009594022E-25,8.09774969966613E-26,9.31795640083918E-25
5.01183471896671,7.22014153799124E-24,9.1195769100851E-25,3.23787072807092E-24,5.27021223710226E-24,3.47673348858211E-24,2.92527355467162E-25,8.08721290424369E-26,9.2738601297146E-25
5.02369745004803,7.13887430131527E-24,9.08594112879941E-25,3.16543889520025E-24,5.22651067598898E-24,3.44350578261289E-24,2.92209056757184E-25,8.07669878551192E-26,9.22997436875955E-25
5.03558825954705,7.05901873530658E-24,9.05244339439008E-25,3.0946751493674E-24,5.18317348699711E-24,3.4106288267711E-24,2.91891113062501E-25,8.06620728798371E-26,9.18629810648892E-25
5.04750721392381,6.98053923233001E-24,9.0190830377586E-25,3.02553977709392E-24,5.14019751948957E-24,3.37809855184836E-24,2.91573523981973E-25,8.05573835630906E-26,9.1428303363924E-25
5.05945437979566,6.90340123319376E-24,8.98585939409868E-25,2.95799404775078E-24,5.09757965329095E-24,3.34591095778022E-24,2.91256289114919E-25,8.04529193527481E-26,9.09957005690913E-25
5.07142982393762,6.82757119280683E-24,8.95277180284962E-25,2.89200018809997E-24,5.055316798385E-24,3.31406210323056E-24,2.90939408061111E-25,8.03486796980428E-26,9.05651627140259E-25
5.08343361328276,6.75301654139648E-24,8.9198196077169E-25,2.8275213575314E-24,5.01340589461412E-24,3.28254808462094E-24,2.9062288042077E-25,8.02446640495701E-26,9.01366798813541E-25
5.09546581492259,6.67970566427795E-24,8.88700215663332E-25,2.76452162397525E-24,4.97184391138095E-24,3.25136505196363E-24,2.90306705794574E-25,8.01408718592838E-26,8.97102422024457E-25
5.10752649610741,6.60760787776017E-24,8.85431880178969E-25,2.70296594047018E-24,4.93062784735196E-24,3.22050921516995E-24,2.8999088378365E-25,8.00373025804937E-26,8.92858398571657E-25
5.1196157242467,6.53669339062687E-24,8.82176889955451E-25,2.64282012236813E-24,4.88975473016304E-24,3.18997681933041E-24,2.89675413989579E-25,7.99339556678616E-26,8.88634630736276E-25
5.1317335669095,6.4669332908338E-24,8.78935181053122E-25,2.58405082515775E-24,4.84922161612713E-24,3.15976417038786E-24,2.8936029601439E-25,7.98308305773993E-26,8.84431021279487E-25
5.14388009182479,6.39829951123402E-24,8.75706689951204E-25,2.52662552288835E-24,4.80902558994382E-24,3.12986761638278E-24,2.89045529460567E-25,7.97279267664642E-26,8.8024747344006E-25
5.15605536688183,6.33076480812073E-24,8.72491353545939E-25,2.47051248717717E-24,4.76916376441093E-24,3.10028355366462E-24,2.8873111393104E-25,7.96252436937572E-26,8.7608389093194E-25
5.1682594601306,6.26430273710219E-24,8.69289109151782E-25,2.4156807667834E-24,4.72963328013801E-24,3.07100842630407E-24,2.88417049029189E-25,7.95227808193192E-26,8.71940177941829E-25
5.18049243978214,6.19888762657792E-24,8.66099894497563E-25,2.36210016773244E-24,4.69043130526191E-24,3.04203871933861E-24,2.88103334358845E-25,7.9420537604528E-26,8.67816239126798E-25
5.19275437420894,6.13449455982591E-24,8.62923647729143E-25,2.30974123397491E-24,4.65155503516412E-24,3.01337096832921E-24,2.87789969524285E-25,7.93185135120952E-26,8.63711979611891E-25
5.20504533194533,6.07109934769055E-24,8.59760307404546E-25,2.25857522856519E-24,4.61300169219019E-24,2.98500174851515E-24,2.87476954130236E-25,7.92167080060633E-26,8.5962730498776E-25
5.21736538168784,6.00867851287496E-24,8.56609812492833E-25,2.2085741153444E-24,4.57476852537105E-24,2.95692768640638E-24,2.87164287781873E-25,7.91151205518023E-26,8.55562121308303E-25
5.22971459229563,5.94720925930197E-24,8.53472102376968E-25,2.15971054111391E-24,4.53685281014614E-24,2.92914543981886E-24,2.86851970084812E-25,7.9013750616007E-26,8.51516335088313E-25
5.24209303279081,5.88666946098625E-24,8.503471168474E-25,2.11195781828515E-24,4.49925184808858E-24,2.90165171644437E-24,2.86540000645123E-25,7.89125976666936E-26,8.47489853301152E-25
5.2545007723589,5.82703763582019E-24,8.4723479610584E-25,2.06528990799238E-24,4.46196296663219E-24,2.87444326061573E-24,2.86228379069317E-25,7.88116611731969E-26,8.43482583376424E-25
5.26693788034915,5.76829293373571E-24,8.44135080758903E-25,2.0196814036554E-24,4.4249835188004E-24,2.84751686815701E-24,2.85917104964355E-25,7.87109406061672E-26,8.39494433197666E-25
5.27940442627496,5.71041510776841E-24,8.41047911822133E-25,1.97510751497935E-24,4.38831088293705E-24,2.82086936547814E-24,2.85606177937636E-25,7.86104354375671E-26,8.35525311100054E-25
5.29190047981428,5.6533844989521E-24,8.37973230714442E-25,1.93154405237955E-24,4.35194246243907E-24,2.79449761568586E-24,2.8529559759701E-25,7.85101451406686E-26,8.31575125868119E-25
5.30442611080996,5.59718202714379E-24,8.34910979259902E-25,1.88896741181914E-24,4.31587568549118E-24,2.76839853562616E-24,2.84985363550767E-25,7.84100691900499E-26,8.27643786733473E-25
5.31698138927019,5.54178915746785E-24,8.31861099685407E-25,1.84735456004829E-24,4.28010800480218E-24,2.74256906259757E-24,2.84675475407643E-25,7.83102070615928E-26,8.23731203372552E-25
5.32956638536883,5.4871879016686E-24,8.28823534619334E-25,1.80668302023341E-24,4.24463689734344E-24,2.71700619069745E-24,2.84365932776813E-25,7.82105582324792E-26,8.19837285904368E-25
5.34218116944589,5.43336078296589E-24,8.25798227090228E-25,1.76693085796582E-24,4.20945986408904E-24,2.69170693241905E-24,2.84056735267899E-25,7.81111221811882E-26,8.15961944888272E-25
5.35482581200782,5.38029083577758E-24,8.22785120527369E-25,1.72807666763895E-24,4.17457442975793E-24,2.66666834977753E-24,2.83747882490962E-25,7.80118983874933E-26,8.12105091321737E-25
5.36750038372798,5.32796158373785E-24,8.19784158756408E-25,1.69009955918412E-24,4.13997814255789E-24,2.6418875406615E-24,2.83439374056503E-25,7.79128863324593E-26,8.08266636638137E-25
5.38020495544701,5.27635702274738E-24,8.16795286000781E-25,1.65297914515475E-24,4.10566857393135E-24,2.61736163447395E-24,2.83131209575468E-25,7.78140854984391E-26,8.0444649270456E-25
5.39293959817322,5.22546160968648E-24,8.13818446879977E-25,1.61669552814945E-24,4.07164331830321E-24,2.59308779832579E-24,2.82823388659241E-25,7.77154953690711E-26,8.0064457181961E-25
5.40570438308298,5.17526024431214E-24,8.10853586406488E-25,1.5812292885645E-24,4.03789999283036E-24,2.56906322863559E-24,2.82515910919645E-25,7.76171154292758E-26,7.96860786711237E-25
5.41849938152117,5.12573826200117E-24,8.07900649988391E-25,1.5465614726668E-24,4.00443623715327E-24,2.545285163759E-24,2.82208775968944E-25,7.75189451652532E-26,7.93095050534574E-25
5.43132466500149,5.07688141392087E-24,8.049595834234E-25,1.51267358097825E-24,3.97124971314932E-24,2.52175087047879E-24,2.8190198341984E-25,7.74209840644796E-26,7.89347276869781E-25
5.44418030520694,5.02867586098836E-24,8.02030332902031E-25,1.47954755696313E-24,3.9383381046881E-24,2.49845765748226E-24,2.81595532885473E-25,7.73232316157045E-26,7.85617379719907E-25
5.45706637399019,4.9811081512319E-24,7.99112845003086E-25,1.44716577601015E-24,3.90569911738854E-24,2.47540285465447E-24,2.81289423979423E-25,7.72256873089482E-26,7.81905273508759E-25
5.46998294337396,4.93416521395134E-24,7.96207066694195E-25,1.41551103470094E-24,3.87333047837804E-24,2.45258382544918E-24,2.80983656315704E-25,7.71283506354983E-26,7.78210873078789E-25
5.48293008555147,4.88783435333445E-24,7.93312945330116E-25,1.38456654035736E-24,3.84122993605335E-24,2.42999797742085E-24,2.80678229508768E-25,7.70312210879068E-26,7.7453409368898E-25
5.4959078728868,4.84210322399943E-24,7.90430428650841E-25,1.35431590085983E-24,3.80939525984352E-24,2.40764273568944E-24,2.80373143173506E-25,7.69342981599876E-26,7.70874851012757E-25
5.50891637791531,4.79695983038799E-24,7.87559464781653E-25,1.32474311472936E-24,3.77782423997462E-24,2.38551556370162E-24,2.8006839692524E-25,7.6837581346813E-26,7.67233061135902E-25
5.52195567334406,4.75239251209801E-24,7.84700002230448E-25,1.29583256146608E-24,3.74651468723646E-24,2.36361395503175E-24,2.79763990379733E-25,7.67410701447113E-26,7.63608640554477E-25
5.53502583205219,4.70838993356721E-24,7.81851989887919E-25,1.26756899213732E-24,3.71546443275121E-24,2.3419354332833E-24,2.79459923153179E-25,7.66447640512634E-26,7.60001506172772E-25
5.54812692709136,4.6649410699091E-24,7.79015377023935E-25,1.23993752020839E-24,3.68467132774395E-24,2.32047754362024E-24,2.79156194862207E-25,7.65486625653002E-26,7.56411575301241E-25
5.56125903168611,4.62203520896508E-24,7.76190113290124E-25,1.21292361260957E-24,3.65413324331516E-24,2.29923787627867E-24,2.78852805123881E-25,7.64527651868997E-26,7.52838765654474E-25
5.57442221923433,4.57966192434393E-24,7.73376148713129E-25,1.18651308103289E-24,3.6238480702151E-24,2.27821403115302E-24,2.78549753555695E-25,7.63570714173838E-26,7.49282995349164E-25
5.58761656330762,4.53781108610673E-24,7.70573433699191E-25,1.16069207345241E-24,3.59381371862027E-24,2.25740365747368E-24,2.78247039775582E-25,7.62615807593158E-26,7.45744182902085E-25
5.60084213765171,4.49647283531723E-24,7.67781919027592E-25,1.13544706586215E-24,3.56402811791171E-24,2.23680442027903E-24,2.779446634019E-25,7.61662927164972E-26,7.42222247228095E-25
5.61409901618692,4.45563757932637E-24,7.65001555853619E-25,1.1107648542255E-24,3.53448921645523E-24,2.21641400801257E-24,2.77642624053448E-25,7.60712067939649E-26,7.38717107638128E-25
5.62738727300849,4.41529598972131E-24,7.62232295703685E-25,1.08663254663091E-24,3.50519498138381E-24,2.19623014494093E-24,2.77340921349446E-25,7.59763224979885E-26,7.35228683837214E-25
5.64070698238708,4.37543899033763E-24,7.59474090476154E-25,1.06303755564771E-24,3.47614339838177E-24,2.17625058307371E-24,2.77039554909554E-25,7.58816393360671E-26,7.31756895922505E-25
5.6540582187691,4.33605774582296E-24,7.56726892440513E-25,1.03996759087724E-24,3.44733247147103E-24,2.15647309468366E-24,2.76738524353855E-25,7.57871568169268E-26,7.28301664381309E-25
5.66744105677721,4.29714366060863E-24,7.5399065423176E-25,1.01741065169375E-24,3.41876022279934E-24,2.13689548526128E-24,2.7643782930287E-25,7.56928744505175E-26,7.24862910089133E-25
5.68085557121069,4.25868836346999E-24,7.51265328855615E-25,9.95355020170065E-25,3.39042469243055E-24,2.11751557701137E-24,2.76137469377541E-25,7.55987917480102E-26,7.21440554307741E-25
5.69430183704584,4.22068371080483E-24,7.48550869680916E-25,9.73789254183155E-25,3.36232393813685E-24,2.09833122952835E-24,2.75837444199244E-25,7.55049082217943E-26,7.18034518683224E-25
5.70777992943645,4.18312176972237E-24,7.45847230441973E-25,9.52702180694691E-25,3.33445603519303E-24,2.07934031941788E-24,2.75537753389784E-25,7.54112233854745E-26,7.14644725244071E-25
